text,label,source
"A bus drove over my right leg.  The event itself was not very á frightening but when I had to wait in the emergency ward for á three hours and then my leg began to swell, I was frightened.",fear,isear
"At my Summer job, nobody looked after me in particular and I had á to learn all on my own.",anger,isear
When I was not accepted as a student in finance and accounting.,sadness,isear
When I had just moved into my new appartment I found a ventilator á in the kitchen.  I was going to clean it when I found that the á drum was full of mud and slime.  I felt disgusted.,disgust,isear
My elder brother and I have not always had a good relationship á and I feel ashamed of myself as I do not call him to talk to him á nowadays.,shame,isear
At my Summer job a new caretaker had been employed who was my age á  but I preferred going out for lunch with the accounts personnel á rather than with him.,guilt,isear
Passed an exam by 2 points.,joy,isear
"In a cottage in a large forest, I was alone for a while in the á dark.",fear,isear
When I spoke to Jan-Erik Wikstr÷m on the telephone. ,anger,isear
Railway station good-bye.,sadness,isear
I saw a cripple in rags with small children in Italy.  He was á probably an imposter.,disgust,isear
I told a friend that I was going to a party and he would not á enjoy himself if he came along.  He understood  that he would not á have fitted in and there was something in that.,shame,isear
I was the reason behind the break-up of my friend's relationship á with his girlfriend.  She finished with him.,guilt,isear
I passed an exam that I was absolutely certain that I had failed.,joy,isear
"On the way back from Denmark with a friend on a small yatch, á there was a storm and my friend was blown overboard;  I was very á scared till I managed to get him back onboard.",fear,isear
I locked myself out.,anger,isear
I missed the last tram home and had to walk in the pouring rain.,sadness,isear
I found some worms in the food and I had obviously eaten some.,disgust,isear
"My friend was so intoxicated that the police came and took him á away, and they later contacted his parents.",shame,isear
I hapened to overhear something which I was not meant to hear.,guilt,isear
When I won a trip to Greece in a competition.,joy,isear
When I am out in the dark and a suspicious looking character á comes towards me.,fear,isear
"At work, when an elderly man complained unjustifiably about me and á distrusted me.",anger,isear
When I had not understood anything after a lecture.,sadness,isear
When an alcoholic stood dribbling over a food counter.,disgust,isear
When my friend and I were discussing the good looks of a guy we á realized that he had been listening.,shame,isear
When I complained about a colleague to the manager and he told á her that someone had complained; this colleague came to me á believing that I liked her.,guilt,isear
At a friend's birthday party with some of my closest friends.  It á was all very pleasant and one could say that I was happy to have á such good friends.,joy,isear
On the way home one Friday night in the heavy rain the car á acquaplanned.  I lost contact with the road surface for a few á seconds.,fear,isear
Mad at my dad.,anger,isear
A case of unrequited love.,sadness,isear
A bad smelling cucumber.,disgust,isear
Nearly caught masturbating.,shame,isear
I do not help out enough at home.,guilt,isear
I felt very happy when I won the football pools.,joy,isear
When I flew from Athens to Copenhagen after a holiday.  The plane á was caught in a storm and it began to shake and I thouhght that á we were going to crash.,fear,isear
When someone stole my bike.,anger,isear
"When I saw the list of books to read for an acccouting course, I á thought \ Oh God how will I ever manaage it!\""""",sadness,isear
It was when I read a newspaper article on the future and they á foresaw that we would be eating frog-burgers by the year 2000.  á An illustration showed a frog between two pieces of bread.,disgust,isear
When I dropped a bottle in the state liquor store and everyboby á started laughing.,shame,isear
"When I was young - 14, I pinched from a store and was caught.  á The store then contacted my parents.",guilt,isear
When the whole family gets together for a one week holiday.  á Everybody feels free and the trip is well planned.  It works out á well and we enjoy ourselves.,joy,isear
"When I could not find my 2 year old daughter.  I ran and looked á for her everywhere and could not find her.  (I finally found her, á she had gone to bed to sleep)",fear,isear
When friends try to put me down or hurt me.  ,anger,isear
Marriage crises.  Boredom.,sadness,isear
When someone makes advances that one does not want.,disgust,isear
The discovery that one has only thought of oneself.,shame,isear
When I spanked a child in anger and later regretted it terribly.,guilt,isear
When I passed the first examination that I had to repeat.,joy,isear
When I drove to Stockholm for the first time and drove off the á Stora Hissingen road at the wrong exit.,fear,isear
When my boyfriend went away for a month long holiday without me.,anger,isear
Last year when I worked during the Summer holidays and studied á at the same time for an examination I had to repeat; my boyfriend á went to Greece for a holiday for a month.,sadness,isear
When a dog is left whining outside a shop.,disgust,isear
When I promised to help a friend over a weekend and did not keep á the promise.,shame,isear
When I realized that I had three more examinations to take.,guilt,isear
The day I was told that I had been accepted as a student of á economics.,joy,isear
"While taking a short cut through the Vasa park, I was surrounded á by three people who tried to steal my money.  I was scared and á was saved only by the appearance of other people.",fear,isear
"At a restaurant I observed how the gypsies tried to get money by á cheating the foreigners i.e non Swedish speaking.  My anger had á nothing to do with hatred against foreigners, but it was an á expression of the anger I feel when I see people being used .",anger,isear
At the begining of a new course one is afraid of encountering á problems one can not manage.  Thoughts revolve around failing á the subject and the consequences it would have for the future.,sadness,isear
While walking in town I noticed how the police harrassed a man á who was under the influence of alcohol.  They terrified him with á the thought of arrest by driving close behind him on a pedestrian á street.  My disgust was directed at the gestures and the facial á expressions of the policemen; they seemed to be enjoying á themselves.,disgust,isear
"When my boyfriend revealed that he knew that I had discovered á things of an important nature about him, I felt ashamed as I had á not mentioned it earlier.",shame,isear
"When I am dishonest to a friend to whom I am very close.  I á feel guilty because I know that he gives a different version of á the truth and I have not corrected these mistakes, and he is á aware that I know that they are wrong.",guilt,isear
When I found out that I had passed the last two exams by a á margin of three marks.,joy,isear
When my father was ill and was waiting for the results of his tests.,fear,isear
When I got caught in the pouring rain last Thursday and did not á have a raincoat on me.,anger,isear
When I failed an exam.,sadness,isear
"At a Sm÷rgasbord table, a man mixed differnet kinds of picked á herrings with fruit salad.",disgust,isear
"When I had not prepared my contribution to the group as á thoroughly as the other members, with the result that the á overall result was poor.",shame,isear
"When my father and I worked on the house just after he had á recovered from illness, I was rather lazy.  This meant that he á had to work hard and was not very well later.",guilt,isear
When I gave birth to my son and saw that he was alive and that I á had managed it well.  He was born a month too early with a á malfunctioning lung.  This happened a year ago.,joy,isear
When I found out that my father had lung cancer and they did not á know how long he would live.,fear,isear
"When a colleague asked me for help at work, despite the fact á that he had more time to do it than I had.",anger,isear
When I did not get the salary increase that I had been expecting á and understood how little one's work was appreciated.,sadness,isear
When I was weeding the garden I found a lizard in my hand.,disgust,isear
"When I met a friend whom I had not seen for a long time and á heard all about her troubles, I thought that I should have got á in touch with her earlier.",shame,isear
I got angry at my mother for something trivial.  We were in a á bad mood because my father was very ill and I knew that my mother á really needed support.  I had reacted wrongly.,guilt,isear
"New year's eve 1983/1984, I met my girlfriend.  We stood on the á steps outside her parents home and I kissed her for the á first time.",joy,isear
"When I was stopped by plain clothes policemen because the car I á was driving had overturned on the Avenue.  I had been driving too á fast, and I was afraid when I was stopped, questionned and then á toild to go.  The situation ended happily since there were no á consequences.",fear,isear
The editor changed the heading of an article that I had written.  á He considered the heading to be derogatory towards the person I had written á about.,anger,isear
"A close acquaintance of the family died of lung cancer.  á Although it was expected, I still felt depressed.",sadness,isear
"When I saw a picture, in the Gothenburg Post, of a totally á demolished car with two fatally injured passengers.  The car was á so badly damaged that they couldn't get the bodies out at the á scene of the accident.",disgust,isear
One night I had a sexual intercourse with another man.  My sexual á desire and my curiosity had made me jump into bed with him.  I am á ashamed of myself now.,shame,isear
"Due to laziness, I failed the term studies completely at á University.  I also wanted, to some extent, to protest against my á parents' expectations.",guilt,isear
When I got the loan for my studies.,joy,isear
I met intoxicated people with dubious intentions in a back alley á one Wednesday night.,fear,isear
On the T.V I saw a news feature on South Africa.  A policeman      á attacked a group of black people with a whip.,anger,isear
The thought of having to read a boring book of 400 pages in á English.,sadness,isear
Grovelling people.,disgust,isear
My inability to assert myself positively in a group.,shame,isear
I experience feelings of guilt because I do not study enough.,guilt,isear
"Observing someone in the cafeteria noisily gulping in his food, á having extremely bad manners.",disgust,isear
I guess I have often been ashamed after having talked badly of á other people.,shame,isear
Having been angry and unpleasant towards my parents.,guilt,isear
When my sister - after a history of one abortion and one á stillbirth - gave birth to a perfectly healty boy.,joy,isear
"When my sister had the still born child, she was emotionally very á deep down, and it took her a long time to recover.",fear,isear
"We were starting a student project, and the teacher we talked to á was very negative and not very helpful.",anger,isear
"When my boyfriend openly let me down, preferring another girl.",sadness,isear
"I felt some disgust for my boyfriend for a time, after he had á left me.",disgust,isear
Can't think of any.,shame,isear
"Before an accident, my aunt offered me the front seat of the car, á next to the driver. I declined, she took that seat and was killed á there when the car crashed.",guilt,isear
"Unexpected visit by a close friend, whom I hadn't seen for half a á year.",joy,isear
"I wandered by mistake into the safety zone of a shooting range, á and was shot at.",fear,isear
Being treated unfairly.,anger,isear
Breaking up with a girl.,sadness,isear
Nothing.,disgust,isear
None.,shame,isear
Little contact with my father before he died.,guilt,isear
"When I was accepted as a student at the college, not having á thought it possible.",joy,isear
"When I was the first to arrive at the scene after an accident, á and found that a close school friend had been killed.",fear,isear
"I was accused of having done something, which I hadn't and got á very angry.",anger,isear
When my grandmother died.,sadness,isear
Not applicable.,disgust,isear
"A couple of years ago during the summer holiday, I was fishing at á a lake with my husband.  Suddenly it started raining while the á sun was still shining. I experienced a feeling of joy, happiness á and fulfillment.  the whole nature was full of music.",joy,isear
"I was alone at home, in bed reading a womens' magazine in which á there were storiees of paranormal experiences.  My leg was á itching and I stretched my hand to scratch and I felt another á strange hand. (later I realized that it was the corner of the á blanket)",fear,isear
"I went to a lecture and once again it had been cancelled, this á was the second time.  One had a negative attitude towards the á lecturer.á ",anger,isear
"I heard that a former superior of mine had died, I was later at á home home reading about it in the newspaper and I thought of our á interaction and how it was no longer possible.  The limited scope á of human life is sad.",sadness,isear
"In the tram there was a fat, sickly looking woman in front of me á who was asking for directions in a thick voice.  When she got up to á go a disgusting smell of urine came from her.  I felt that I á would choke.",disgust,isear
"When we were at home, my husband and I, he made a remark about á something I had done, in a perfectly friendly manner.  My deed á had been unjust and I knew that my husband was right, therefore my á sense of shame.",shame,isear
"I made a remark to my sister concerning her attitude to men, the á way she talked and I compared her to an acquaintance of mine.  á Later, the same evening, my sister looked sad.  I felt guilty á about her sadness.",guilt,isear
"I had a summer job in Sweden, and my boyfriend came to meet me on á my birthday.",joy,isear
"I went to practice in Sweden during summer, and I was afraid that á I would not do well.",fear,isear
"In the holiday cottage of our association, two of my pals came to á wake me up early one morning by bringing a radio played at the á highest volume into my room - it was the morning service at its á loudest.",anger,isear
My grandmother died suddenly last summer.,sadness,isear
"My superior at the summer job swindled customers as much as he á could, and once put me in a difficult situation after which I á could not but detest him.",disgust,isear
Once I arrived two hours late to my work place (a bank) and I was á still feeling feeble and tired.,shame,isear
Our association had Polish visitors and when they were going back á by boat I did not go to see them off (I am the chairman of the á association).,guilt,isear
"I was told quite unexpectedly that one wanted me to become the á vice-chairman of our student organisation.  I was really á surprised and joy was the first emotion I felt, though behind it á there was worry - how shall I succeed ?",joy,isear
"Our tutorial group was soon to be divided, and we got a list of á names of freshmen, out of which five were to be in my group.  We á read the names and then each group went its own way to a seminar á room.  I wondered how I would cope with the new situation and if á I would succeed as a group leader.",fear,isear
"We were in a disco and the evening was not at all pleasant.  á Despite my not knowing why, I was angry with my companion.  I let á him feel my bad humour as I cannot hide my feelings.",anger,isear
"My grandmother died, and my mother called me one sunday morning á in the Autumn.  The way my mother told me about it, I hated her á at that moment.  She sounded as if she had been waiting for the á death of my grandmother.  I had lost a person close to me.  I á felt guilty too as I had been bad to my grandmother of late.  I had not á remained calm when she no longer understood everything so well.",sadness,isear
"At the underground station, a drunkard came to speak to me.  He á tried to ask me something but I did not answer so he began to á speak about me with his companion.  I detested this dirty á growling man.",disgust,isear
"I was worried by a task related to my studies which had to be á done in groups of two.  I was talking about it to my friends when á I said something negative, in too abrupt a manner, concerning my á work partner.  I did not quite mean what I said and I felt á ashamed at having been mean enough to criticize him as he is also á a friend of mine.",shame,isear
I had told my boyfriend that I did not want to go on with our á relationship.  I knew that I was important to him but I wanted to á be free.  I saw that this was difficult for him but I remained á firm and did not change my mind.,guilt,isear
"[ I sometimes quarrel with my mother because she blames me, á though I have not in any way been connected to some events.]",anger,isear
"After hearing about the death of my grandfather.  First I could á not believe it, but later I wept and felt the situation was á hopeless.  I felt lonely and wanted to be consolated.",sadness,isear
"In the evening, while I was watching TV, my little brother came á in and started eating food he had brought from the kitchen while á I was trying to concentrate on the program.",disgust,isear
My little brother was arrested by the police at the railway station after á he had drunk some beer.,shame,isear
"At my temporary job, I have to restrict  others' actions and make á them obey me, and this very often gives me  a feeling of guilt.  I á wish there could be some other way of acting.",guilt,isear
"I met a dear friend of mine after a long time.  I expressed my feelings á in our own usual way, by mutual scolding and abusing (with á complete understanding) and by touching, patting and taking the á hand of the other person, etc...",joy,isear
"I felt fear of the purest kind after a car accident.  The á incident and images of horror kept coming back to my mind.  I á wondered what could have happened to my sister, my friend and me, á though nothing very serious actually happened.",fear,isear
"Two boys whom I know were telling me, in an indecent manner, how á they had teased a young and shy girl I know.  They had despised á her conviction, scorned and touched her.  I got very angry and á did not try to conceal it and gave it back to them.",anger,isear
"My sweetheart left me, or rather we decided to break it off by á mutual consent.  The consequences were - unrestrained weeping, á feelings of loneliness, hopelessness and disconsolation.  I felt á that I should find a friend, to talk to joyfully and to forget.",sadness,isear
"Out of sheer curiosity, I went to see a pornographic movie in á Copenhagen.  The room was full of men, who panted and á masturbated.  Very disgusting.",disgust,isear
"After having quarelled unnecessarily and without any reason, and á having been stupidly cross in every way.",shame,isear
[ Do not know.],shame,isear
Forced to fill in a questionnaire.,guilt,isear
When I won a tennis match.,joy,isear
When my dog ran out on thin ice last spring.,fear,isear
When my tennis match was interrupted because a kid cycled right á into the court.,anger,isear
[ No response.],sadness,isear
[ No response.],disgust,isear
[ No response.],shame,isear
[ No response.],guilt,isear
Celebrations on the graduation day with the orchestra playing in á the garden ( I am a part of this orchestra).,joy,isear
Risk of being involved in a fight after a party.,fear,isear
After an exam which I failed.,sadness,isear
[ Normally I do not feel disgusted.],disgust,isear
"When I overtook a car on the mainroad, misjudging the distance of á an oncoming car and this resulted in tooting and flashing from á the other driver (we could have collided), and I had an á acquaintance in the car with me.",shame,isear
"I saw a neighbour, from the same appartment block as me, lying    á on the road.  He could have been injured or ill.  I kept 20 á metres away and did not go to help him.",guilt,isear
When I met an old schhol friend (school love) who works in á Sk+vde.,joy,isear
"When I was cycling to school, I nearly got knocked down by a car á which (overtook me too closely) did not give me any swerving space.",fear,isear
"When I was deputy manager during the Summer, certain deputies á took liberties, more than what was normal.",anger,isear
"When I realized that my girlfriend, whom I like, and I were going á to separate.",sadness,isear
Dog dirt which thaws in the spring.,disgust,isear
When I forgot my mother's birthday.,shame,isear
[ Can not think of anything just now.],guilt,isear
Passed the last exam.,joy,isear
Was nearly knocked down by a car.,fear,isear
I reached the bus stop and realized that I had forgotten my bus á pass.,anger,isear
My current work load is too much.  The feeling comes back from á time to time.,sadness,isear
[ Can not think of any situation.],disgust,isear
[ No response.],shame,isear
[ No response.],guilt,isear
When my one year old son gives me a spontaneous kiss.,joy,isear
When someone close to me is travelling by car and is delayed.,fear,isear
When someone does something wrong which affects me negatively.,anger,isear
When I think about my parents getting old.,sadness,isear
[ Can not remember.],disgust,isear
[ No response.],shame,isear
"I do not have the time for other people's problems.  My á mother-in-law is sometimes depressed and I do not have the time, á the desire or the strength to help.",guilt,isear
I was driving and a deer suddenly appeared in front of the á car when there was a lot of traffic behind me.,fear,isear
I saw a report on T.V news on apartheid in South Africa. ,anger,isear
[ No response.],sadness,isear
[ No response.],disgust,isear
[ No response.],shame,isear
[ No response.],guilt,isear
When my girlfriend became pregnant.,joy,isear
When I nearly collided with another car.,fear,isear
The time when someone let the air out of the tyres of my cycle.,anger,isear
When I read a lot and did not remember anything.,sadness,isear
[ No response.],disgust,isear
[ No response.],shame,isear
The time that I had to put my dog to sleep.,guilt,isear
[ No response.],joy,isear
[ No response.],fear,isear
[ No response.],anger,isear
Long illness.,sadness,isear
When I passed an exam.,joy,isear
"When I was travelling by tram, I tripped and fell against the á door.  I thought that I was going to fall out.",fear,isear
When I missed the tram after having run for it.,anger,isear
The inability to read a book at college.,sadness,isear
If a guy one is not interested in makes advances.,disgust,isear
I drink wine too often.,shame,isear
I do not study enough as I do not understand it properly.,guilt,isear
I worked at a lawyer's office during Summer and I got a very á good reference from him.,joy,isear
I had been watching a triller a dark night in the country and I á had to go the outside toilet on my own. ,fear,isear
"When I am accused of something I have not done, I get unbelievably á angry.",anger,isear
"When I began to read a thick book, which I had a limited time to á read.  Also when I have a lot of work to do and I cannot keep up.",sadness,isear
Someone vomited on the street.,disgust,isear
"I can not think of any incident when I have felt very ashamed.  á There are small incidents that I am ashamed of, for instance, á not sending money to the children in Ethiopia.",shame,isear
I had lunch with my ex-boyfriend and did not mention it to my á fiancee.  I felt guilty despite the fact that I felt nothing for á my ex-boyfriend.,guilt,isear
When I was finally qualified for my profession.,joy,isear
Someone attacked me with a knife.,fear,isear
Someone drove into my car and then denied that it had happened.,anger,isear
When I was told that my friend's wife had cancer.,sadness,isear
When I saw a dog which had been knocked down by a car.,disgust,isear
When I boxed my child's ears.,shame,isear
When I was fined for speeding.,guilt,isear
I stopped working (had a boring job).,joy,isear
"I was going home by car late one night when it was cold, dark and á windy.  I became rather panicky on the way to my house.",fear,isear
Quarrel in the family.,anger,isear
When I am alone in a room with no contact with anyone - á loneliness drains me.,sadness,isear
When I was on holiday someone vomited in front of me.,disgust,isear
Emptied a bucket of water in a hospital.,shame,isear
When I feigned sick leave from work.,guilt,isear
When I get a hug from someone I love.,joy,isear
I was driving very fast on a small road and I met an oncoming car á in a right handed bend.  The other driver was on his own side of á the road and I had to skid out of it to avoid a collision.  It á was dark.,fear,isear
My car had been towed away by the traffic police because it had á been wrongly parked.  However the sign had been put up only after á I had already parked.,anger,isear
After an operation I had to stay in bed for a long time.,sadness,isear
I was forced to stay in the canteen and eat the food that I had á not asked for but got it anyway.,disgust,isear
When I did not buy what I had promised to.,shame,isear
By mistake I took a book from the library which was not supposed á to be loaned out.,guilt,isear
When I won an unexpected sum of money.,joy,isear
My 2 year old daughter disappeared in a moment of inattention; I á was responsible for her.,fear,isear
A colleague asked me for some advice and as he did not have á enough confidence in me he asked a third person.,anger,isear
"I wanted to be pregnant and did not succeed, so I was depressed    á at every menstruation.",sadness,isear
"In a warm bus full of people, someone vomited and the whole bus á stank.",disgust,isear
"I complained about a colleague's behaviour as she goes back on á her word, is often absent and is irresponsible.  I found out that á she was an alcoholic and was trying to fight againt her á addiction.",shame,isear
I spoke to my mother on the phone.  She had skin cancer and was á waiting to be operated.  I forgot to ask her the date of the á operation and just before finishing our conversation she gave me á the date in passing. ,guilt,isear
When I was at a party I met an old friend from an adult á education course.  We had not met for 2 years but had both thought á a lot about each other.  A wonderful experience.á ,joy,isear
"When I was cycling through the park late one night, two people á jumped out of the woods and tried to stop me.  There were á shouting something at the same time.",fear,isear
When close relatives tried to dissuade me from studying á Psychology because of its low status.,anger,isear
I had a long discussion on politics with an acquaintance.  He á was more knowledgeable than me and I failed to explain my point á of view and was misunderstood so I felt depressed and left.,sadness,isear
When I read a newspaper article on a young girl who had been á raped and assaulted one night by several men when she was unconscious.,disgust,isear
My mother revealed personal details about me and the á negative aspects of my character to other people when I was á present but unable to defend myself.,shame,isear
I was unfaithful to my partner once when he was working abroad á for a long period.,guilt,isear
When I recently got an appartment in central Gottenburg.,joy,isear
When I saw a large spider crawling up the wall.,fear,isear
My employer took too many aspirins for a bad back and also drank á an enormous amount of spirit.  This was dangerous  and he did á not understand that he had done anything wrong.,anger,isear
"When I left New York, and all my family and my friends behind me.",sadness,isear
When I slept with a guy because my best friend wanted me to.  á He had never had intercourse with anyone and had a terrible á complex about it.,disgust,isear
When I dated a close girlfriend's boyfriend a few times. He told á me that it was over between them and I accepted it.  When she á found out she finished our friendship.,shame,isear
"When I broke off with my boyfriend after three years.  It was á quite unexpected for him and there was no particular reason for á the break up, such as someone else.",guilt,isear
When my son returned from mountaineering - healthy in body and á soul.,joy,isear
When one meets new people with whom one is forced to collaborate á with.,fear,isear
The sports fishermen who catch gulls instead of fish with their hooks. á   It is often a mistake but it makes me angry.,anger,isear
I feel sad about an event I can not influence.,sadness,isear
"When a member of the family complains about the food that is á served, it disgusts me.",disgust,isear
[ Cannot recall any incident when I felt shame.],shame,isear
I have chosen to put my son in a private school were the á examination marks are low.  Every time that he gives me his term á results I am left with a sense of guilt.,guilt,isear
When I was informed that I had been accepted as a student of á Psychology.,joy,isear
When I was in a little fishing boat and we ran into hard weather á in the open sea.,fear,isear
When I found out that the guy I was dating at a particular time á had a steady relationship going on with someone else for a long á time.,anger,isear
I felt sad and depressed when I heard that our cat had died.,sadness,isear
"When I was working as a nurse in a mental hospital, a patient ate á up the contents of another patient's spitoon.",disgust,isear
"At primary school, when I vomited in front of others in the middle  á of a lesson.",shame,isear
I arrived an hour late for an important meeting ( I had á misunderstood the time).,guilt,isear
When I was acceptted as a student of psychology.,joy,isear
When my son has a pain in his leg (for no apparent reason).  ,fear,isear
"When, after a week at school, a teacher sent a note home saying á that my son was inattentive and unable to do his lessons.",anger,isear
When I thought that it was going to be impossible for me to start á studying (due to wrong information from the student advisor).,sadness,isear
"At a certain person's lack of cleanliness, at home and á personally.",disgust,isear
"When I made the same mistake that I had accused someone else of, and á this was obvious to a third pereson.",shame,isear
When I lost something that was valuable to my sister.,guilt,isear
When my son was born.,joy,isear
When I nearly drowned in icy water wearing ice skates.  It was á difficult to get out.,fear,isear
When I was pointed out as a problem child in primary school and á my mother took the teacher's point of view.,anger,isear
When I was accused of neglecting work for the wrong reasons.,sadness,isear
"My parents attitude towards each other when they should become á reconciled, despite my father's long-time addiction.",disgust,isear
When I was caught stealing money from my father.,shame,isear
I stole a coconut cake from a reception table and when I put á in my mouth I realized that the host was watching me.,guilt,isear
When I was reprimanded by the manager of the hotel where I á worked during Autumn 1984.,fear,isear
When my parents drove me to a nearby place and went home á immediately instead of waiting a few hours.  They could have á easily waited.,anger,isear
When my ex-girlfriend and I discovered that there was a certain risk á of her being pregnant.,sadness,isear
When I was about to clean the draining board and saw it looked á underneath the sink (I live in a students hostel).,disgust,isear
When my mother caught me masturbating.,shame,isear
"As the only person in my family into academics, I ought to have á looked after my younger (and only) sister better, with respect to á her education and life experiences.",guilt,isear
When my older sister told us that she was thinking of joining the á rest of the family for the winter sports holiday.,joy,isear
Slept in a chapel and in the middle of the night I realized that á there was someeone else in the chapel.  I never discovered who á it was and why he was there.,fear,isear
"When we were in high school a few guys sometimes provoked a á friend of mine.  They called her a pig and then grunted.  This á irritated most of the girls.  Once, one of the girls got angry at á my friend and said something nasty and this made me terribly á angry.",anger,isear
I talked to my boyfriend on the phone when I was in high spirits á and had a lot to tell him.  I had been looking forward to this á conversation and he did not listen to me to the extent that I á had anticipated.,sadness,isear
A mother who shouts at her child for nothing.,disgust,isear
"When I complained to my mother about how untidy the kitchen á loooked, she boxed my ears ( this had never happened before).",shame,isear
"As I could not be home before midnight I called home at 11.30 and á asked them to leave the door open so that I could get in.  I á actually woke up the whole family by calling them so late.  My á mother could not go back to sleep, besides she had a conference   á the next day and really needed to sleep.",guilt,isear
When I got through the first day here at the department.,joy,isear
When I was cycling past a parked car someone opened the door and á nearly pushed me off my bike and into the traffic.,fear,isear
When my boyfriend sat up half the night playing computer games á with a friend.,anger,isear
When I had to leave my mother and my sister after a week's visit.,sadness,isear
When I saw a big spider from very close.,disgust,isear
